scenario,algorithm,makespan_mean,avg_transfer_time_mean,amr_utilization_mean,throughput_mean,deadlock_count_mean,path_optimality_mean,makespan_std,avg_transfer_time_std,amr_utilization_std,throughput_std,deadlock_count_std,path_optimality_std
S1_Low,A*,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
S1_Low,PPO-RL,296.061,29.514,88.761,0.238,0.0,94.071,3.36,2.048,3.455,0.016,0.0,1.613
S1_Low,CACTUS,296.707,27.754,88.324,0.253,0.0,98.73,2.418,1.756,4.736,0.018,0.0,0.676
S1_Low,CBS-TS,297.294,27.482,88.067,0.255,0.0,100.0,2.275,1.843,5.094,0.019,0.0,0.0
S2_Medium,A*,298.553,26.264,88.716,0.539,0.0,100.0,1.196,1.238,3.186,0.032,0.0,0.0
S2_Medium,PPO-RL,297.795,28.077,88.951,0.504,0.0,94.231,1.886,1.402,2.712,0.031,0.0,0.929
S2_Medium,CACTUS,298.622,26.683,88.97,0.532,0.0,98.699,1.204,1.196,2.825,0.03,0.0,0.575
S2_Medium,CBS-TS,298.553,26.264,88.716,0.539,0.0,100.0,1.196,1.238,3.186,0.032,0.0,0.0
S3_High,A*,597.348,26.455,46.07,0.555,0.0,100.0,2.407,0.732,2.145,0.021,0.0,0.0
S3_High,PPO-RL,597.737,28.044,48.655,0.553,0.0,94.22,2.041,0.836,2.109,0.021,0.0,0.673
S3_High,CACTUS,597.354,26.761,46.571,0.554,0.0,98.721,2.367,0.744,2.186,0.021,0.0,0.406
S3_High,CBS-TS,597.348,26.455,46.07,0.555,0.0,100.0,2.407,0.732,2.145,0.021,0.0,0.0
